Rank,Word,Frequency,POS,source_file
6,บรรทัดฐาน,criteria,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,วัฒนธรรม,"culture, (society)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,เงินตรา,currency,,SEAlang_Thai_AWL_main_2025-12-30_08-07
1,ข้อมูล,data,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ทศวรรษ,decade,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ปฏิเสธ,"decline, (turn down)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ลดลง,"decline, (reduce)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,เสื่อม,"decline, (degrade)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
7,อนุมาน,deduce,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,แน่นอน,definite,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ปฏิเสธ,deny,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ออกแบบ,"design, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ลวดลาย,"design, n. (pattern)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,อุปกรณ์,device,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,กำจัด,dispose of,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,เอกสาร,"document, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ยึดครอง,dominate,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ภายในประเทศ,domestic,,SEAlang_Thai_AWL_main_2025-12-30_08-07
9,ฉบับร่าง,"draft, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ร่าง,"draft, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,เศรษฐกิจ,economy,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ตัดต่อ,"edit, v. (assemble)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
10,ตรวจแก้,"edit, v. (refine)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,บรรณาธิการ,"editor, (writing)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,เน้น,"emphasize, (focus)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,เผชิญหน้า,"encounter, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,การเผชิญหน้า,"encounter, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,พลังงาน,energy,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,มหึมา,"enormous, (concrete)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,รับประกัน,ensure,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,สภาพแวดล้อม,environment,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,สมการ,equation,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ความผิดพลาด,error,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,สถาปนา,establish,,SEAlang_Thai_AWL_main_2025-12-30_08-07
9,ประมาณการณ์,"estimate, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,เชื้อชาติ,ethnic,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,วิวัฒนาการ,evolution,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ผู้เชี่ยวชาญ,"expert, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ส่งออก,"export, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ภายนอก,external,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,อำนวยความสะดวก,facilitate,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ปัจจัย,"factor, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
8,แฟ้มเอกสาร,"file, n. (paper)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,แฟ้มข้อมูล,"file, n. (computer)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ยื่น,"file, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,สุดท้าย,"final, adj.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ทางการเงิน,financial,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,พยากรณ์,forecast,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ก่อตั้ง,"found, v. (establish)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,มูลนิธิ,"foundation, n. (organization)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,พื้นฐาน,"foundation, n. (figurative)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,พื้นฐาน,fundamental,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,โครงสร้าง,framework,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,หน้าที่,"function, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,กองทุน,"fund, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,เพศ,gender,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,รุ่น,"generation, n. (conceptual)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
7,ชั่วคน,"generation, n. (timespan)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,เป้าหมาย,goal,,SEAlang_Thai_AWL_main_2025-12-30_08-07
1,ระดับ,"grade, n. (quality)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,รับรอง,"guarantee, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
7,สมมุติฐาน,hypothesis,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,เอกลักษณ์,identity,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,อุดมคติ,ideology,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ผิดกฎหมาย,illegal,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ภาพลักษณ์,"image, n. (popular conception)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
1,ภาพ,"image, n. (picture)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ผลกระทบ,"impact, n. (effect)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ส่งผลกระทบ,"impact, v. (have effect)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
7,แรงกระแทก,"impact, n. (physical force)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,รายได้,income,,SEAlang_Thai_AWL_main_2025-12-30_08-07
1,บุคคล,"individual, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,รายบุคคล,"individual, adj.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
7,อย่างหลีกเลี่ยงไม่ได้,inevitably,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,เงินเฟ้อ,"inflation, (economics)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,เริ่มแรก,"initial, adj.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ริเริ่ม,initiate,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,บาดเจ็บ,"injured, adj.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,นวัตกรรม,innovation,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ตรวจ,inspect,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,สถาบัน,"institute, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ไม่เพียงพอ,insufficient,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ข่าวกรอง,"intelligence, n. (information)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
9,เชาวน์ปัญญา,"intelligence, n. (ability)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
1,ภายใน,internal,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ลงทุน,"invest, v. (finance)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ตรวจสอบ,investigate,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ประเด็น,"issue, n. (topic)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,วารสาร,journal,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,แรงงาน,"labor, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ถูกกฎหมาย,"legal, (not illegal)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
7,เสรีนิยม,"liberal, adj. (politics)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ตรรกะ,logic,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ยืนยัน,"maintain, (confirm)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,รักษา,"maintain, (preserve)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,สื่อมวลชน,"media, n. (mass media)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,สื่อ,"media, n. (pl. of medium)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,แพทย์,medical,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ทางจิต,"mental, adj. (of the mind)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,วิธีการ,method,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ขั้นต่ำ,minimum,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,กระทรวง,"ministry, n. (government)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ญัตติ,"motion, n. (politics)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
9,เหตุจูงใจ,motive,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,เครือข่าย,network,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ปกติ,normal,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,แนวคิด,notion,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ปรมาณู,nuclear,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,วัตถุประสงค์,objective,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ยึดครอง,occupy,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,เกิดขึ้น,occur,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ทางเลือก,option,,SEAlang_Thai_AWL_main_2025-12-30_08-07
1,ผล,outcome,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ผลผลิต,"output, n. (production)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
1,รวม,"overall, adj.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,เข้าร่วม,participate,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ร้อยละ,percent,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,นโยบาย,"policy, (procedure)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,กรมธรรม์,"policy, (insurance)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ศักยภาพ,"potential, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,คาดการณ์,predict,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,อคติ,prejudice,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,โครงการ,"project, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ส่งเสริม,promote,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,สัดส่วน,proportion,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,จิตวิทยา,psychology,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,นักจิตวิทยา,psychologist,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ตีพิมพ์,"publish, (print a written work)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,เผยแพร่,"publish, (disseminate)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,อัตราส่วน,ratio,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ปฏิกิริยา,reaction,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ระบอบ,regime,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,จดทะเบียน,"register, v. (create an official record)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ปฏิเสธ,"reject, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ผ่อนปรน,"relax, (reduce)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,วิจัย,research,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ทรัพยากร,resource,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ตอบสนอง,respond,,SEAlang_Thai_AWL_main_2025-12-30_08-07
1,จำกัด,restrict,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,เปิดเผย,reveal,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,รายได้,revenue,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,การปฏิวัติ,revolution,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,เส้นทาง,route,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ขอบข่าย,scope,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,แสวงหา,seek,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,คัดเลือก,select,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,เพศ,"sex, (gender)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,เพศสัมพันธ์,"sex, (sexual relations)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,การจำลอง,simulation,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ที่ตั้ง,site,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,แหล่ง,"source, (general)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,แหล่งข่าว,"source, (news)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ระบุ,specify,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,สภาพ,"status, (condition)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ฐานะ,"status, (rank)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ตรงไปตรงมา,straightforward,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ยุทธวิธี,"strategy, (tactic)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ความเครียด,"stress, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,โครงสร้าง,"structure, (framework)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,สิ่งก่อสร้าง,"structure, (building)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,รูปแบบ,"style, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,เพียงพอ,sufficient,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,สรุป,summarize,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,อุปทาน,"supply, n. (economics)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,สำรวจ,"survey, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,การสำรวจ,"survey, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,สัญลักษณ์,symbol,,SEAlang_Thai_AWL_main_2025-12-30_08-07
11,แถบบันทึก,"tape, (cassette, native word)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,เทป,"tape, (cassette, loan word)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
7,บันทึกเทป,"tape, (record on cassette)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,เป้าหมาย,"target, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ทีม,"team, (general)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ทีมงาน,"team, (work)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,เทคโนโลยี,technology,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ชั่วคราว,temporary,,SEAlang_Thai_AWL_main_2025-12-30_08-07
10,แก่นเรื่อง,theme,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ทฤษฎี,theory,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ถ่ายโอน,transfer,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ส่งผ่าน,transmit,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ขนส่ง,"transport, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,สูงสุด,"ultimate, (highest)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,เครื่องแบบ,"uniform, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ยานพาหนะ,"vehicle, (motor)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,พาหนะ,"vehicle, (general)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ละเมิด,violate,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,วิสัยทัศน์,"vision, (foresight)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,อาสา,"volunteer, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,อาสาสมัคร,"volunteer, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,สวัสดิภาพ,"welfare, (well-being)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,สวัสดิการ,"welfare, (social program)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,นามธรรม,"abstract, adj.",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
5,การเข้าถึง,"access, n.",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
4,เข้าถึง,"access, v.",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
4,อำนวยความสะดวก,accommodate,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
3,สะสม,"accumulate, (tangible)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
3,ผู้บริหาร,administrator,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
5,แก้ไขเพิ่มเติม,amend,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
7,แปรญัตติ,"amend, (legistlative)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
5,นักวิเคราะห์,analyst,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
5,ผนวก,append,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,ภาคผนวก,appendix,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,ติดอาวุธ,"arm, v.",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
3,พฤติกรรม,behavior,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
9,ความลำเอียง,bias,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,ลำเอียง,biased,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
9,ทัณฑ์บน,"bond, (bail)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
5,แพ่ง,civil (law),,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
5,เพื่อนร่วมงาน,"colleague, (coworker)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
5,ติดต่อสื่อสาร,"communicate, (general)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
2,สื่อสาร,"communicate, (via device)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
3,รวบรวม,compile,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
4,ประพันธ์,compose,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,ปรึกษาหารือ,confer,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
5,ยินยอม,"consent, v.",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
5,อุปโภค,"consume, (inedible goods)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
4,รับเหมา,"contract, (work)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,เรียกประชุม,convene,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
5,เพาะปลูก,"cultivate, (agriculture)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,การเพาะปลูก,cultivation,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,วัฏจักร,"cycle, n.",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,ข้อเรียกร้อง,demand,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
4,มิติ,dimension,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
9,ปลดอาวุธ,disarm,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
4,เข้มแข็ง,"dynamic, (as leader)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
7,ปราดเปรียว,"dynamic, (as public speaker)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,พลวัต,"dynamic, (science)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
5,บังคับใช้,enforce,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
3,สูตร,formula,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,อุดมคติ,"ideal, n. (perfect standard)",,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
7,อุบัติการณ์,incidence,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
3,ดัชนี,index,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
11,อุปมาน,infer,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,สมาชิกสภานิติบัญญัติ,legislator,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
6,ผู้เยาว์,minor (child),,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
4,โดยรวม,overall,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
4,ปรากฏการณ์,phenomenon,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
3,ปรัชญา,philosophy,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
7,ทำปฏิกิริยา,react,,SEAlang_Thai_AWL_secondary_2025-12-30_08-07
